,TournamentID,TournamentName,StartDate,EndDate,IsOver,IsInProgress,CourseName,Location,Par,Yards,Purse,StartDateTime,Canceled,Covered,City,State,ZipCode,Country,TimeZone,Format,SportRadarTournamentID,OddsCoverage,tournamentName_Clean,tournamentName,courseName,courseLocation
24,597,RBC Heritage,2024-04-18,2024-04-21,False,False,Harbour Town Golf Links,"Hilton Head Island, SC",71.0,7191.0,20000000.0,,False,True,Hilton Head Island,SC,,USA,America/New York,Stroke,,Full,RBC Heritage,RBC Heritage,Harbour Town Golf Links,"Hilton Head Island, SC"
25,596,Corales Puntacana Championship,2024-04-18,2024-04-21,False,False,Puntacana Resort & Club (Corales Golf Course),"Punta Cana, Dominican Republic",72.0,7670.0,4000000.0,,False,True,Punta Cana,,,DOM,America/Dominica,Stroke,,Full,Corales Puntacana Championship,Corales Puntacana Championship,Puntacana Resort & Club (Corales Golf Course),"Punta Cana, Dominican Republic"
26,575,Masters Tournament,2024-04-11,2024-04-14,False,False,Augusta National Golf Club,"Augusta, GA",72.0,7555.0,,,False,True,Augusta,GA,,USA,America/New York,Stroke,,Full,The Masters Tournament,Masters Tournament,Augusta National Golf Club,"Augusta, GA"
27,595,Valero Texas Open,2024-04-04,2024-04-07,False,False,TPC San Antonio (Oaks Course),"San Antonio, TX",72.0,7494.0,9200000.0,,False,True,San Antonio,TX,,USA,America/Chicago,Stroke,,Full,Valero Texas Open,Valero Texas Open,TPC San Antonio (Oaks Course),"San Antonio, TX"
28,615,Texas Children's Houston Open,2024-03-28,2024-03-31,False,True,Memorial Park Golf Course,"Houston, TX",70.0,7435.0,9100000.0,2024-03-28T08:20:00,False,True,Houston,TX,,USA,America/Chicago,Stroke,,Full,Houston Open,Texas Children's Houston Open,Memorial Park Golf Course,"Houston, TX"
29,594,Valspar Championship,2024-03-21,2024-03-24,True,False,Innisbrook Resort (Copperhead Course),"Palm Harbor, FL",71.0,7340.0,8400000.0,2024-03-21T07:35:00,False,True,Palm Harbor,FL,,USA,America/New York,Stroke,,Full,Valspar Championship,Valspar Championship,Innisbrook Resort (Copperhead Course),"Palm Harbor, FL"
30,593,THE PLAYERS Championship,2024-03-14,2024-03-17,True,False,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72.0,7275.0,25000000.0,2024-03-14T07:40:00,False,True,Ponte Vedra Beach,FL,,USA,America/New York,Stroke,,Full,THE PLAYERS Championship,THE PLAYERS Championship,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL"
31,592,Arnold Palmer Invitational pres. by Mastercard,2024-03-07,2024-03-10,True,False,Arnold Palmer's Bay Hill Club & Lodge,"Orlando, FL",72.0,7466.0,20000000.0,2024-03-07T07:45:00,False,True,Orlando,FL,,USA,America/New York,Stroke,,Full,Arnold Palmer Invitational,Arnold Palmer Invitational pres. by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,"Orlando, FL"
32,591,Puerto Rico Open,2024-03-07,2024-03-10,True,False,Grand Reserve Country Club,"Rio Grande, Puerto Rico",72.0,7506.0,4000000.0,2024-03-07T05:50:00,False,True,Rio Grande,,,PUR,America/Puerto Rico,Stroke,,Full,Puerto Rico Open,Puerto Rico Open,Grand Reserve Country Club,"Rio Grande, Puerto Rico"
33,590,Cognizant Classic,2024-02-29,2024-03-03,True,False,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL",71.0,7147.0,9000000.0,2024-02-29T06:45:00,False,True,Palm Beach Gardens,FL,,USA,America/New York,Stroke,,Full,Cognizant Classic,Cognizant Classic,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL"
34,589,Mexico Open at Vidanta,2024-02-22,2024-02-25,True,False,Vidanta Vallarta,"Nuevo Vallarta, Mexico",71.0,7456.0,8100000.0,2024-02-22T08:30:00,False,True,Vallarta,,,MEX,America/Mexico City,Stroke,,Full,Mexico Open,Mexico Open at Vidanta,Vidanta Vallarta,"Nuevo Vallarta, Mexico"
35,588,The Genesis Invitational,2024-02-15,2024-02-18,True,False,Riviera Country Club,"Pacific Palisades, CA",71.0,7322.0,20000000.0,2024-02-15T10:20:00,False,True,Pacific Palisades,CA,,USA,America/Los Angeles,Stroke,,Full,The Genesis Invitational,The Genesis Invitational,Riviera Country Club,"Pacific Palisades, CA"
36,587,WM Phoenix Open,2024-02-08,2024-02-11,True,False,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",71.0,7261.0,8800000.0,2024-02-08T09:20:00,False,True,Scottsdale,AZ,,USA,America/Phoenix,Stroke,,Full,Waste Management Phoenix Open,WM Phoenix Open,TPC Scottsdale (Stadium Course),"Scottsdale, AZ"
37,586,AT&T Pebble Beach Pro-Am,2024-02-01,2024-02-04,True,False,Pebble Beach Golf Links,"Pebble Beach, CA",72.0,7041.0,20000000.0,2024-02-01T11:45:00,False,True,Pebble Beach,CA,,USA,America/Los Angeles,Stroke,,Full,AT&T Pebble Beach Pro-Am,AT&T Pebble Beach Pro-Am,Spyglass Hill GC,"Pebble Beach, CA"
38,585,Farmers Insurance Open,2024-01-24,2024-01-27,True,False,Torrey Pines Golf Course (South Course),"San Diego, CA",72.0,7258.0,9000000.0,2024-01-24T11:50:00,False,True,San Diego,CA,,USA,America/Los Angeles,Stroke,,Full,Farmers Insurance Open,Farmers Insurance Open,Torrey Pines (North Course),"La Jolla, CA"
39,584,The American Express,2024-01-18,2024-01-21,True,False,Pete Dye Stadium Course,"La Quinta, CA",72.0,7060.0,8400000.0,2024-01-18T11:30:00,False,True,La Quinta,CA,,USA,America/Los Angeles,Stroke,,Full,Desert Classic,The American Express,La Quinta Country Club,"La Quinta, CA"
40,583,Sony Open in Hawaii,2024-01-11,2024-01-14,True,False,Waialae Country Club,"Honolulu, HI",70.0,7044.0,8300000.0,2024-01-11T12:10:00,False,True,Honolulu,HI,,USA,Pacific/Honolulu,Stroke,,Full,Sony Open in Hawaii,Sony Open in Hawaii,Waialae Country Club,"Honolulu, HI"
41,582,The Sentry,2024-01-04,2024-01-07,True,False,Plantation Course at Kapalua,"Kapalua, Maui, HI",73.0,7596.0,20000000.0,2024-01-04T12:45:00,False,True,"Kapalua, Maui",HI,,USA,Pacific/Honolulu,Stroke,,Full,Tournament of Champions,The Sentry,Kapalua Resort (Plantation Course),"Kapalua, HI"
42,564,Hero World Challenge,2023-11-30,2023-12-03,True,False,Albany GC,"Albany, Bah",72.0,7449.0,4500000.0,2023-11-30T10:46:00,False,True,Albany,,,BAH,America/New York,Stroke,,Full,Hero World Challenge,Hero World Challenge,Albany,"New Providence, Bahamas"
43,565,The RSM Classic,2023-11-16,2023-11-19,True,False,Sea Island Golf Club (Seaside Course),"St. Simons Island, GA",70.0,7005.0,8400000.0,2023-11-16T08:00:00,False,True,St. Simons Island,GA,,USA,America/New York,Stroke,,Full,RSM Classic,The RSM Classic,Sea Island Resort (Seaside Course),"Saint Simons Island, GA"
44,566,Cadence Bank Houston Open,2023-11-10,2023-11-13,False,False,Memorial Park Golf Course,,70.0,7432.0,,,True,False,,,,,,,,,Houston Open,,Memorial Park Golf Course,"Houston, TX"
45,568,Butterfield Bermuda Championship,2023-11-09,2023-11-12,True,False,Port Royal Golf Course,"Southampton, Ber",71.0,6828.0,6500000.0,2023-11-09T05:50:00,False,True,Southampton,,,BER,Atlantic/Bermuda,Stroke,,Full,Bermuda Championship,Butterfield Bermuda Championship,Port Royal Golf Course,"Southampton Parish, Bermuda"
46,567,World Wide Technology Championship,2023-11-02,2023-11-05,True,False,El Cardonal at Diamante Cabo San Lucas,"Los Cabos, Mex",72.0,7452.0,8200000.0,2023-11-02T09:25:00,False,True,Los Cabos,,,MEX,America/Phoenix,Stroke,,Full,World Wide Technology Championship,World Wide Technology Championship,El Cardonal at Diamante,"Cabo San Lucas, Mexico"
47,569,THE CJ CUP in South Carolina,2023-10-20,2023-10-23,False,False,Congaree Golf Club,,71.0,7655.0,,,True,False,,,,,,,,,CJ Cup,,Congaree Golf Club,"Ridgeland, SC"
48,570,ZOZO CHAMPIONSHIP,2023-10-19,2023-10-22,True,False,Accordia Golf Narashino Country Club,"Chiba, Jpn",70.0,7079.0,8500000.0,2023-10-19T19:45:00,False,True,Chiba,,,JPN,Asia/Tokyo,Stroke,,Full,Zozo Championship,ZOZO CHAMPIONSHIP,Accordia Golf Narashino CC,"Chiba, Japan"
49,571,Shriners Children's Open,2023-10-12,2023-10-15,True,False,TPC Summerlin,"Las Vegas, NV",71.0,7255.0,8400000.0,2023-10-12T09:50:00,False,True,Las Vegas,NV,,USA,America/Los Angeles,Stroke,,Full,Shriners Children's Open,Shriners Children's Open,TPC Summerlin,"Las Vegas, NV"
50,572,Sanderson Farms Championship,2023-10-05,2023-10-08,True,False,The Country Club of Jackson,"Jackson, MS",72.0,7461.0,8200000.0,2023-10-05T08:00:00,False,True,Jackson,MS,,USA,America/Chicago,Stroke,,Full,Sanderson Farms Championship,Sanderson Farms Championship,Country Club of Jackson,"Jackson, MS"
51,514,Ryder Cup,2023-09-29,2023-10-01,False,False,Marco Simone Golf & Country Club,"Rome, Ita",,,,,False,False,Rome,,,ITA,Europe/Paris,TeamMatch,,Limited,The Ryder Cup,Ryder Cup,Marco Simone GC,"Rome, Italy"
52,573,The Presidents Cup,2023-09-22,2023-09-25,False,False,Quail Hollow Club,,71.0,7521.0,,,True,False,,,,,,,,,The Presidents Cup,,Quail Hollow Club,"Charlotte, NC"
53,574,Fortinet Championship,2023-09-14,2023-09-17,True,False,Silverado Resort (North Course),"Napa, CA",72.0,7123.0,8400000.0,2023-09-14T09:55:00,False,True,Napa,CA,,USA,America/Los Angeles,Stroke,,Full,Fortinet Championship,Fortinet Championship,Silverado Resort and Spa (North Course),"Napa, CA"
54,563,TOUR Championship,2023-08-24,2023-08-27,True,False,East Lake Golf Club,"Atlanta, GA",70.0,7346.0,,2023-08-24T11:26:00,False,True,Atlanta,GA,,USA,America/New York,Stroke,,Full,The TOUR Championship,TOUR Championship,East Lake Golf Club,"Atlanta, GA"
55,562,BMW Championship,2023-08-17,2023-08-20,True,False,Olympia Fields Country Club (North Course),"Olympia Fields, IL",70.0,7366.0,20000000.0,2023-08-17T09:26:00,False,True,Olympia Fields,IL,,USA,America/Chicago,Stroke,62335a36-7fd7-41d7-a729-30ded11fcd9c,Full,BMW PGA Championship,BMW Championship,Olympia Fields Country Club,"Olympia Fields, IL"
56,561,FedEx St. Jude Championship,2023-08-10,2023-08-13,True,False,TPC Southwind,"Memphis, TN",70.0,7243.0,20000000.0,2023-08-10T08:50:00,False,True,Memphis,TN,,USA,America/Chicago,Stroke,,Full,St. Jude Championship,FedEx St. Jude Championship,TPC Southwind,"Memphis, TN"
57,560,Wyndham Championship,2023-08-03,2023-08-06,True,False,Sedgefield Country Club,"Greensboro, NC",70.0,7131.0,7600000.0,2023-08-03T06:50:00,False,True,Greensboro,NC,,USA,America/New York,Stroke,ba485e45-67e1-42bd-832f-4178fba750cc,Full,Wyndham Championship,Wyndham Championship,Sedgefield Country Club,"Greensboro, NC"
58,559,3M Open,2023-07-27,2023-07-30,True,False,TPC Twin Cities,"Blaine, MN",71.0,7431.0,7800000.0,2023-07-27T07:45:00,False,True,Blaine,MN,,USA,America/Chicago,Stroke,704576a7-e3be-4958-984d-0c5784af55b7,Full,3M Open,3M Open,TPC Twin Cities,"Blaine, MN"
59,558,The Open,2023-07-20,2023-07-23,True,False,Royal Liverpool,"Hoylake, Wirral, Eng",71.0,7383.0,16500000.0,2023-07-20T01:35:00,False,True,"Hoylake, Wirral",,,ENG,Europe/London,Stroke,,Full,The Open Championship,The Open,Royal Liverpool GC,Hoylake
60,557,Barracuda Championship,2023-07-20,2023-07-23,False,False,Tahoe Mountain Club (Old Greenwood),"Truckee, CA",71.0,7480.0,3800000.0,,False,False,Truckee,CA,,USA,America/Los Angeles,Stableford,5a5c1dfe-b4d6-4106-8794-c623c6dd01e2,Limited,Barracuda Championship,Barracuda Championship,Tahoe Mountain Club (Old Greenwood),"Truckee, CA"
61,555,Barbasol Championship,2023-07-13,2023-07-16,True,False,Keene Trace Golf Club (Champions Course),"Nicholasville, KY",72.0,7328.0,3800000.0,2023-07-13T06:45:00,False,True,Nicholasville,KY,,USA,America/New York,Stroke,53cf1088-f9b4-424e-ab11-9a1cdd4eb7c2,Full,Barbasol Championship,Barbasol Championship,Keene Trace Golf Club (Champions Course),"Nicholasville, KY"
62,556,Genesis Scottish Open,2023-07-13,2023-07-16,True,False,The Renaissance Club,"North Berwick, Sco",70.0,7237.0,9000000.0,2023-07-13T02:15:00,False,True,North Berwick,,,SCO,Europe/London,Stroke,,Full,Genesis Scottish Open,Genesis Scottish Open,The Renaissance Club,"North Berwick, Scotland"
63,554,John Deere Classic,2023-07-06,2023-07-09,True,False,TPC Deere Run,"Silvis, IL",71.0,7289.0,7400000.0,2023-07-06T07:45:00,False,True,Silvis,IL,,USA,America/Chicago,Stroke,a84c6b54-ff8d-450d-863b-6727c1fb049c,Full,John Deere Classic,John Deere Classic,TPC Deere Run,"Silvis, IL"
64,553,Rocket Mortgage Classic,2023-06-29,2023-07-02,True,False,Detroit Golf Club,"Detroit, MI",72.0,7370.0,8800000.0,2023-06-29T06:45:00,False,True,Detroit,MI,,USA,America/New York,Stroke,1014944f-c72e-4538-8129-2700d4e6787b,Full,Rocket Mortgage Classic,Rocket Mortgage Classic,Detroit Golf Club,"Detroit, MI"
65,552,Travelers Championship,2023-06-22,2023-06-25,True,False,TPC River Highlands,"Cromwell, CT",70.0,6852.0,20000000.0,2023-06-22T06:45:00,False,True,Cromwell,CT,,USA,America/New York,Stroke,e9f28105-17b5-41d2-9067-0ce874138e3c,Full,Travelers Championship,Travelers Championship,TPC River Highlands,"Cromwell, CT"
66,551,U.S. Open,2023-06-15,2023-06-18,True,False,The Los Angeles Country Club (North Course),"Los Angeles, CA",70.0,7421.0,20000000.0,2023-06-15T09:45:00,False,True,Los Angeles,CA,,USA,America/Los Angeles,Stroke,2e80d5ad-468e-4833-aeda-85fb86c1098a,Full,U.S. Open,U.S. Open,Los Angeles Country Club,"Los Angeles, CA"
67,550,RBC Canadian Open,2023-06-08,2023-06-11,True,False,Oakdale Golf & Country Club,"Toronto, Ontario, Can",72.0,7264.0,9000000.0,2023-06-08T07:00:00,False,True,"Toronto, Ontario",,,CAN,America/Toronto,Stroke,2cb99584-0bb2-487f-a050-b05fa9502107,Full,RBC Canadian Open,RBC Canadian Open,Oakdale Golf & Country Club,"Toronto, ON"
68,549,The Memorial Tournament pres. by Workday,2023-06-01,2023-06-04,True,False,Muirfield Village Golf Club,"Dublin, OH",72.0,7571.0,20000000.0,2023-06-01T07:00:00,False,True,Dublin,OH,,USA,America/New York,Stroke,,Full,Memorial Tournament,The Memorial Tournament pres. by Workday,Muirfield Village Golf Club,"Dublin, OH"
69,548,Charles Schwab Challenge,2023-05-25,2023-05-28,True,False,Colonial Country Club,"Fort Worth, TX",70.0,7209.0,8700000.0,2023-05-25T08:20:00,False,True,Fort Worth,TX,,USA,America/Chicago,Stroke,,Full,Charles Schwab Challenge,Charles Schwab Challenge,Colonial Country Club,"Fort Worth, TX"
70,547,PGA Championship,2023-05-18,2023-05-21,True,False,Oak Hill Country Club - East Course,"Rochester, NY",70.0,7394.0,17500000.0,2023-05-18T07:00:00,False,True,Rochester,NY,,USA,America/New York,Stroke,0262529f-2ea5-4f77-b1ed-42c4d81e09ea,Full,PGA Championship,PGA Championship,Oak Hill Country Club,"Rochester, NY"
71,546,AT&T Byron Nelson,2023-05-11,2023-05-14,True,False,TPC Craig Ranch,"McKinney, TX",71.0,7414.0,9500000.0,2023-05-11T07:50:00,False,True,McKinney,TX,,USA,America/Chicago,Stroke,5d65bd76-7547-4693-99cd-33e2dc3c30f2,Full,AT&T Byron Nelson,AT&T Byron Nelson,TPC Craig Ranch,"McKinney, TX"
72,545,Wells Fargo Championship,2023-05-04,2023-05-07,True,False,Quail Hollow Club,"Charlotte, NC",71.0,7538.0,20000000.0,2023-05-04T06:50:00,False,True,Charlotte,NC,,USA,America/New York,Stroke,b9a5a65b-f098-48e7-b9a3-a3fbd1d47b72,Full,Wells Fargo Championship,Wells Fargo Championship,Quail Hollow Club,"Charlotte, NC"
73,544,Mexico Open,2023-04-27,2023-04-30,True,False,Vidanta Vallarta,"Vallarta, Mex",71.0,7456.0,7700000.0,2023-04-27T07:45:00,False,True,Vallarta,,,MEX,America/Mexico City,Stroke,,Full,Mexico Open,Mexico Open,Vidanta Vallarta,"Nuevo Vallarta, Mexico"
74,543,Zurich Classic of New Orleans,2023-04-20,2023-04-23,False,False,TPC Louisiana,"Avondale, LA",72.0,7425.0,8600000.0,,False,False,Avondale,LA,,USA,America/Chicago,Team,,Limited,Zurich Classic of New Orleans,Zurich Classic of New Orleans,TPC Louisiana,"Avondale, LA"
75,542,RBC Heritage,2023-04-13,2023-04-16,True,False,Harbour Town Golf Links,"Hilton Head Island, SC",71.0,7213.0,20000000.0,2023-04-13T07:00:00,False,True,Hilton Head Island,SC,,USA,America/New York,Stroke,1a4257b1-a86a-4bd3-94ad-56b88334f6de,Full,RBC Heritage,RBC Heritage,Harbour Town Golf Links,"Hilton Head Island, SC"
76,541,Masters Tournament,2023-04-06,2023-04-09,True,False,Augusta National Golf Club,"Augusta, GA",72.0,7545.0,18000000.0,2023-04-06T08:00:00,False,True,Augusta,GA,,USA,America/New York,Stroke,34b19960-f028-4dfe-b128-58553a7bcc9a,Full,The Masters Tournament,Masters Tournament,Augusta National Golf Club,"Augusta, GA"
77,540,Valero Texas Open,2023-03-30,2023-04-02,True,False,TPC San Antonio (Oaks Course),"San Antonio, TX",72.0,7438.0,8900000.0,2023-03-30T08:30:00,False,True,San Antonio,TX,,USA,America/Chicago,Stroke,1d34d2bd-dda8-4734-a622-4c92efb18420,Full,Valero Texas Open,Valero Texas Open,TPC San Antonio (Oaks Course),"San Antonio, TX"
78,538,Corales Puntacana Championship,2023-03-23,2023-03-26,True,False,Puntacana Resort & Club (Corales Golf Course),"Punta Cana, Dom",72.0,7670.0,3800000.0,2023-03-23T06:45:00,False,True,Punta Cana,,,DOM,America/Dominica,Stroke,cb8db64b-5f70-4db9-b676-2a693532ad3b,Full,Corales Puntacana Championship,Corales Puntacana Championship,Puntacana Resort & Club (Corales Golf Course),"Punta Cana, Dominican Republic"
79,539,WGC-Dell Technologies Match Play,2023-03-22,2023-03-26,False,False,Austin Country Club,"Austin, TX",71.0,7108.0,20000000.0,,False,False,Austin,TX,,USA,America/Chicago,Match,,Limited,WGC-Dell Technologies Match Play,WGC-Dell Technologies Match Play,Austin Country Club,"Austin, TX"
80,537,Valspar Championship,2023-03-16,2023-03-19,True,False,Innisbrook Resort (Copperhead Course),"Palm Harbor, FL",71.0,7340.0,8100000.0,2023-03-16T07:40:00,False,True,Palm Harbor,FL,,USA,America/New York,Stroke,4fb997a4-9ccb-41df-8309-cdd1f2a7d271,Full,Valspar Championship,Valspar Championship,Innisbrook Resort (Copperhead Course),"Palm Harbor, FL"
81,536,THE PLAYERS Championship,2023-03-09,2023-03-12,True,False,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL",72.0,7275.0,25000000.0,2023-03-09T06:50:00,False,True,Ponte Vedra Beach,FL,,USA,America/New York,Stroke,c3588c5e-505e-4248-a70a-9f941d5681b5,Full,THE PLAYERS Championship,THE PLAYERS Championship,TPC Sawgrass (THE PLAYERS Stadium Course),"Ponte Vedra Beach, FL"
82,535,Arnold Palmer Invitational pres. by Mastercard,2023-03-02,2023-03-05,True,False,Arnold Palmer's Bay Hill Club & Lodge,"Orlando, FL",72.0,7466.0,20000000.0,2023-03-02T07:00:00,False,True,Orlando,FL,,USA,America/New York,Stroke,,Full,Arnold Palmer Invitational,Arnold Palmer Invitational pres. by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,"Orlando, FL"
83,534,Puerto Rico Open,2023-03-02,2023-03-05,True,False,Grand Reserve Golf Club,"Rio Grande, Pur",72.0,7506.0,3800000.0,2023-03-02T06:10:00,False,True,Rio Grande,,,PUR,America/Puerto Rico,Stroke,e4b55b5b-854f-4e1c-80f9-3c9049151290,Full,Puerto Rico Open,Puerto Rico Open,Grand Reserve Country Club,"Rio Grande, Puerto Rico"
84,533,The Honda Classic,2023-02-23,2023-02-26,True,False,PGA National Resort (The Champion),"Palm Beach Gardens, FL",70.0,7140.0,8400000.0,2023-02-23T06:50:00,False,True,Palm Beach Gardens,FL,,USA,America/New York,Stroke,30a39a35-d177-40e9-b9bc-a9f902c684e3,Full,Cognizant Classic,The Honda Classic,PGA National Resort & Spa (The Champion),"Palm Beach Gardens, FL"
85,532,The Genesis Invitational,2023-02-16,2023-02-19,True,False,The Riviera Country Club,"Pacific Palisades, CA",71.0,7322.0,20000000.0,2023-02-16T09:40:00,False,True,Pacific Palisades,CA,,USA,America/Los Angeles,Stroke,1e350a57-d54f-4904-bb44-73b03dd7c801,Full,The Genesis Invitational,The Genesis Invitational,Riviera Country Club,"Pacific Palisades, CA"
86,531,WM Phoenix Open,2023-02-09,2023-02-12,True,False,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",71.0,7261.0,20000000.0,2023-02-09T09:15:00,False,True,Scottsdale,AZ,,USA,America/Phoenix,Stroke,62902ae6-af32-419c-91d6-4fec54a59fe3,Full,Waste Management Phoenix Open,WM Phoenix Open,TPC Scottsdale (Stadium Course),"Scottsdale, AZ"
87,530,AT&T Pebble Beach Pro-Am,2023-02-02,2023-02-05,True,False,Pebble Beach Golf Links,"Pebble Beach, CA",72.0,7041.0,9000000.0,2023-02-02T11:30:00,False,True,Pebble Beach,CA,,USA,America/Los Angeles,Stroke,1fe9a678-6558-495c-a7b4-0734274964a3,Full,AT&T Pebble Beach Pro-Am,AT&T Pebble Beach Pro-Am,Spyglass Hill GC,"Pebble Beach, CA"
88,529,Farmers Insurance Open,2023-01-25,2023-01-28,True,False,Torrey Pines Golf Course (South Course),"San Diego, CA",72.0,7258.0,8700000.0,2023-01-25T12:00:00,False,True,San Diego,CA,,USA,America/Los Angeles,Stroke,dad58e15-9fab-49a5-a1e3-ea520f764698,Full,Farmers Insurance Open,Farmers Insurance Open,Torrey Pines (North Course),"La Jolla, CA"
89,528,The American Express,2023-01-19,2023-01-22,True,False,Pete Dye Stadium Course,"La Quinta, CA",72.0,7060.0,8000000.0,2023-01-19T11:30:00,False,True,La Quinta,CA,,USA,America/Los Angeles,Stroke,bc61b9e3-e054-496b-bcb7-4756a0490c51,Full,Desert Classic,The American Express,La Quinta Country Club,"La Quinta, CA"
90,527,Sony Open in Hawaii,2023-01-12,2023-01-15,True,False,Waialae Country Club,"Honolulu, HI",70.0,7044.0,7900000.0,2023-01-12T12:10:00,False,True,Honolulu,HI,,USA,Pacific/Honolulu,Stroke,890b3b99-9b4a-451a-90cf-9db4908e142b,Full,Sony Open in Hawaii,Sony Open in Hawaii,Waialae Country Club,"Honolulu, HI"
91,526,Sentry Tournament of Champions,2023-01-05,2023-01-08,True,False,Plantation Course at Kapalua,"Kapalua, Maui, HI",73.0,7596.0,15000000.0,2023-01-05T14:30:00,False,True,"Kapalua, Maui",HI,,USA,Pacific/Honolulu,Stroke,beea275d-7a29-47bf-a124-4cf06bcdcaab,Full,Tournament of Champions,Sentry Tournament of Champions,Kapalua Resort (Plantation Course),"Kapalua, HI"
92,525,QBE Shootout,2022-12-09,2022-12-11,False,False,Tiburón Golf Course,"Naples, FL",72.0,6556.0,3800000.0,,False,True,Naples,FL,,USA,America/New York,Stroke,,Full,QBE Shootout,QBE Shootout,Tiburón Golf Course,"Naples, FL"
93,524,Hero World Challenge,2022-12-01,2022-12-04,True,False,Albany,"New Providence, Bah",72.0,7449.0,3500000.0,2022-12-01T11:00:00,False,True,New Providence,,,BAH,America/Nassau,Stroke,0299292e-fa35-403a-9b25-7959a58ab418,Full,Hero World Challenge,Hero World Challenge,Albany,"New Providence, Bahamas"
94,515,The RSM Classic,2022-11-17,2022-11-20,True,False,Sea Island Golf Club (Seaside Course),"St. Simons Island, GA",70.0,7005.0,8100000.0,2022-11-17T09:00:00,False,True,St. Simons Island,GA,,USA,America/New York,Stroke,0a23f93c-dc78-4059-a453-a2bb9b6faa46,Full,RSM Classic,The RSM Classic,Sea Island Resort (Seaside Course),"Saint Simons Island, GA"
95,516,Cadence Bank Houston Open,2022-11-10,2022-11-13,True,False,Memorial Park Golf Course,"Houston, TX",70.0,7412.0,8400000.0,2022-11-10T07:40:00,False,True,Houston,TX,,USA,America/Chicago,Stroke,d2c4a455-0ed4-4543-878a-440de91c4a20,Full,Houston Open,Cadence Bank Houston Open,Memorial Park Golf Course,"Houston, TX"
96,517,World Wide Technology Championship at Mayakoba,2022-11-03,2022-11-06,True,False,El Camaleón Golf Course at Mayakoba,"Riviera Maya, Mex",71.0,7034.0,8200000.0,2022-11-03T07:55:00,False,True,Riviera Maya,,,MEX,America/Cancun,Stroke,bfed5fed-40d9-4d0c-a6be-a689ba25a7ec,Full,World Wide Technology Championship,World Wide Technology Championship at Mayakoba,El Camaleón Golf Course at Mayakoba,"Quintana Roo, Mexico"
97,518,Butterfield Bermuda Championship,2022-10-27,2022-10-30,True,False,Port Royal Golf Course,"Southampton, Ber",71.0,6828.0,6500000.0,2022-10-27T06:35:00,False,True,Southampton,,,BER,Atlantic/Bermuda,Stroke,97c8e78f-d903-4fea-ac5e-7513e91faf37,Full,Bermuda Championship,Butterfield Bermuda Championship,Port Royal Golf Course,"Southampton Parish, Bermuda"
98,520,THE CJ CUP in South Carolina,2022-10-20,2022-10-23,True,False,Congaree Golf Club,"Ridgeland, SC",71.0,7655.0,10500000.0,2022-10-20T08:15:00,False,True,Ridgeland,SC,,USA,America/New York,Stroke,8252afda-4f4b-4eca-a6f9-d91bc233dd39,Full,CJ Cup,THE CJ CUP in South Carolina,Congaree Golf Club,"Ridgeland, SC"
99,519,ZOZO CHAMPIONSHIP,2022-10-13,2022-10-16,True,False,Accordia Golf Narashino Country Club,"Chiba, Jpn",70.0,7079.0,11000000.0,2022-10-12T19:50:00,False,True,Chiba,,,JPN,Asia/Tokyo,Stroke,3a247fb8-ba65-4c23-915f-f442c36d65fd,Full,Zozo Championship,ZOZO CHAMPIONSHIP,Accordia Golf Narashino CC,"Chiba, Japan"
100,521,Shriners Children's Open,2022-10-06,2022-10-09,True,False,TPC Summerlin,"Las Vegas, NV",71.0,7255.0,8000000.0,2022-10-06T09:40:00,False,True,Las Vegas,NV,,USA,America/Los Angeles,Stroke,930073f3-a6ca-4501-97ee-54140730dba0,Full,Shriners Children's Open,Shriners Children's Open,TPC Summerlin,"Las Vegas, NV"
101,522,Sanderson Farms Championship,2022-09-29,2022-10-02,True,False,The Country Club of Jackson,"Jackson, MS",72.0,7461.0,7900000.0,2022-09-29T08:00:00,False,True,Jackson,MS,,USA,America/Chicago,Stroke,80f07484-b938-4054-bb8f-1dee801f371d,Full,Sanderson Farms Championship,Sanderson Farms Championship,Country Club of Jackson,"Jackson, MS"
102,513,Presidents Cup,2022-09-22,2022-09-25,False,False,Quail Hollow Club,"Charlotte, NC",71.0,7521.0,,,False,False,Charlotte,NC,,USA,America/New York,TeamMatch,,Limited,The Presidents Cup,Presidents Cup,Quail Hollow Club,"Charlotte, NC"
103,523,Fortinet Championship,2022-09-15,2022-09-18,True,False,Silverado Resort and Spa (North Course),"Napa, CA",72.0,7123.0,8000000.0,2022-09-15T10:00:00,False,True,Napa,CA,,USA,America/Los Angeles,Stroke,40ef66e7-2c3e-4102-9132-2c6d828acdb6,Full,Fortinet Championship,Fortinet Championship,Silverado Resort and Spa (North Course),"Napa, CA"
