,TournamentID,TournamentName,StartDate,EndDate,IsOver,IsInProgress,CourseName,Location,Par,Yards,Purse,StartDateTime,Canceled,Covered,City,State,ZipCode,Country,TimeZone,Format,SportRadarTournamentID,OddsCoverage,tournamentName_Clean,tournamentName,courseName,courseLocation
461,55,World Golf Championships-HSBC Champions,2015-11-05,2015-11-08,True,False,Sheshan International GC,"Shanghai, China",72.0,7261.0,8500000.0,,False,True,,,,,,,,Full,WGC-HSBC Champions,World Golf Championships-HSBC Champions,Sheshan International GC,"Shanghai, China"
462,5,CIMB Classic,2015-10-29,2015-11-01,True,False,Kuala Lumpur Golf and Country Club,"Kuala Lumpur, Malaysia",72.0,6985.0,7000000.0,,False,True,,,,,,,,Full,CIMB Classic,CIMB Classic,TPC Kuala Lumpur,"Kuala Lumpur, Malaysia"
463,54,Shriners Hospitals for Children Open,2015-10-22,2015-10-25,True,False,TPC Summerlin,"Las Vegas, NV",71.0,7255.0,6400000.0,,False,True,,,,,,,,Full,Shriners Children's Open,Shriners Hospitals for Children Open,TPC Summerlin,"Las Vegas, NV"
464,57,Frys.com Open,2015-10-15,2015-10-18,True,False,Silverado CC (North),"Napa, CA",72.0,7203.0,6000000.0,,False,True,,,,,,,,Full,Frys.com Open,Frys.com Open,Silverado Resort and Spa (North Course),"Napa, CA"
465,38,TOUR Championship by Coca-Cola,2015-09-24,2015-09-27,True,False,East Lake GC,"Atlanta, GA",70.0,7307.0,8250000.0,,False,True,,,,,,,,Full,The TOUR Championship,TOUR Championship by Coca-Cola,East Lake Golf Club,"Atlanta, GA"
466,29,BMW Championship,2015-09-17,2015-09-20,True,False,Conway Farms GC,"Lake Forest, IL",71.0,7198.0,8250000.0,,False,True,,,,,,,,Full,BMW PGA Championship,BMW Championship,Conway Farms Golf Club,"Lake Forest, IL"
467,44,Deutsche Bank Championship,2015-09-04,2015-09-07,True,False,TPC Boston,"Norton, MA",71.0,7242.0,8250000.0,,False,True,,,,,,,,Full,Deutsche Bank Championship,Deutsche Bank Championship,TPC Boston,"Norton, MA"
468,25,The Barclays,2015-08-27,2015-08-30,True,False,Plainfield CC,"Edison, NJ",70.0,7012.0,8250000.0,,False,True,,,,,,,,Full,The Barclays,The Barclays,Plainfield CC,"Edison, NJ"
469,20,Wyndham Championship,2015-08-20,2015-08-23,True,False,Sedgefield CC,"Greensboro, NC",70.0,7127.0,5400000.0,,False,True,,,,,,,,Full,Wyndham Championship,Wyndham Championship,Sedgefield Country Club,"Greensboro, NC"
470,32,PGA Championship,2015-08-13,2015-08-16,True,False,Whistling Straits,"Kohler, WI",72.0,7507.0,10000000.0,,False,True,,,,,,,,Full,PGA Championship,PGA Championship,Whistling Straits (Straits Course),"Kohler, WI"
